sample_id,zone,zone_label,replicate,dilution,colony_count,mass_g,mass_aliquot_g,cfu_per_g,log10_cfu,richness,shannon,simpson,N_total
D-R1,D,Dark,1,0.01,95,1.67,0.22266666666666668,426646.7065868263,5.630068397532964,9,1.7645620981918972,0.7866434159675747,206
D-R2,D,Dark,2,0.1,126,1.64,0.21866666666666668,57621.951219512186,4.760587960461565,11,1.951534352628237,0.8315976331360946,130
D-R3,D,Dark,3,0.1,152,1.65,0.22,69090.90909090907,4.839420907122566,8,1.335997022072265,0.6037333333333333,150
D-R4,D,Dark,4,0.1,123,1.57,0.20933333333333337,58757.96178343947,4.769066722421864,13,1.9961588412398403,0.8075629919702544,159
D-R5,D,Dark,5,0.1,139,1.82,0.2426666666666667,57280.21978021977,4.75800467566072,11,2.039371425746112,0.8459302325581395,172
E-R1,E,Entrance,1,0.01,154,1.85,0.2466666666666667,624324.3243243243,5.795410255825149,11,1.562728974108246,0.7285687903970453,285
E-R2,E,Entrance,2,0.01,89,1.59,0.21200000000000005,419811.3207547169,5.623054145716162,12,1.801877743833486,0.7855831037649219,198
E-R3,E,Entrance,3,0.01,143,1.89,0.252,567460.3174603175,5.753935496683518,14,1.972098847638184,0.818954633448363,327
E-R4,E,Entrance,4,0.01,167,1.87,0.24933333333333338,669786.0962566843,5.825936128002784,10,1.5880641602727248,0.7447412940087459,177
E-R5,E,Entrance,5,0.01,76,1.56,0.20800000000000005,365384.6153846153,5.562750257318029,8,1.6769142137664805,0.7747573421553634,179
T-R1,T,Transition,1,0.01,163,1.25,0.16666666666666666,978000,5.990338854787601,11,1.9699293324676304,0.840660330615738,298
T-R2,T,Transition,2,0.01,194,1.27,0.16933333333333334,1145669.2913385825,6.059059272365969,9,1.76862066826779,0.8097274241636516,307
T-R3,T,Transition,3,0.01,137,1.61,0.2146666666666667,638198.757763975,5.804955954516257,13,1.9886514223644802,0.8166965048950824,249
T-R4,T,Transition,4,0.01,33,1.5,0.20000000000000004,164999.99999999997,5.217483944213906,11,1.8260879723428596,0.7762780316718035,97
T-R5,T,Transition,5,0.01,94,1.51,0.20133333333333336,466887.41721854295,5.66921216969823,12,1.8510361989675237,0.7796055514974434,185
