sample_id,zone,replicate,zone_label,colony_count,dilution,cfu_per_mL_wet_sed,log10_cfu,richness,shannon,simpson
L-R1,Z1,RNA,Light,180,0.01,600000,5.778151250383644,6,1.6987625930391732,0.8009259259259259
L-R2,Z1,RNA,Light,35,0.01,116666.66666666667,5.066946789630613,9,1.9306288936987788,0.8146938775510204
L-R3,Z1,RNA,Light,121,0.01,403333.3333333333,5.605664115596787,12,1.8422109530146809,0.7851922682876853
L-R4,Z1,RNA,Light,220,0.01,733333.3333333334,5.865301426102544,10,2.2545822887800124,0.890702479338843
L-R5,Z1,RNA,Light,400,0.01,1333333.3333333333,6.1249387366083,10,1.8227541971002839,0.75575
L-R6,Z1,RNA,Light,332,0.01,1106666.6666666667,6.044016828984374,10,1.9776295732800928,0.8110211932065612
D-R1,Z2,RNA,Dark,78,0.01,260000,5.414973347970818,12,2.013868303664868,0.81689677843524
D-R2,Z2,RNA,Dark,98,0.01,326666.6666666667,5.5141048209728325,11,1.7869330567661814,0.743856726364015
D-R3,Z2,RNA,Dark,74,0.01,246666.66666666666,5.392110465011314,10,1.8652620199296361,0.7826880934989042
D-R4,Z2,RNA,Dark,83,0.01,276666.6666666667,5.441956837656411,12,2.040753549048403,0.8245028305995065
D-R5,Z2,RNA,Dark,88,0.01,293333.3333333333,5.4673614174305065,10,1.7843610793886362,0.7507747933884298
D-R6,Z2,RNA,Dark,67,0.01,223333.33333333334,5.348953547981164,11,1.8926385248226163,0.7863666740922255
