zone,subzone,replicate,dilution,colony_count,org_sa001,org_sa002,org_sa003,org_sa004,org_sa005,org_sa007,org_sa008,org_sa009,org_sa010,org_sa011,org_sa012,org_sa015,org_sa016,org_sa019
z1,a,r1,0.01,180,54,36,0,20,0,18,0,0,17,0,0,35,0,0
z1,a,r2,0.01,35,3,0,4,2,2,0,3,0,2,0,0,6,1,12
z1,a,r3,0.01,121,43,20,4,2,2,0,3,3,2,2,0,26,1,13
z1,b,r1,0.01,220,29,19,16,0,12,20,25,26,0,0,0,33,13,27
z1,b,r2,0.01,400,29,13,17,0,17,18,19,59,0,0,0,39,11,178
z1,b,r3,0.01,332,32,16,14,0,13,19,22,47,0,0,0,37,11,121
z2,a,r1,0.01,78,10,3,6,4,3,1,2,8,1,0,1,12,0,27
z2,a,r2,0.01,98,8,4,7,6,2,2,1,14,0,0,1,8,0,45
z2,a,r3,0.01,74,8,3,6,5,3,1,0,9,0,0,1,8,0,30
z2,b,r1,0.01,83,6,7,8,2,1,4,3,12,1,0,1,10,0,28
z2,b,r2,0.01,88,4,5,9,2,3,2,3,15,0,0,0,6,0,39
z2,b,r3,0.01,67,4,4,10,1,2,2,2,11,0,0,1,4,0,26
