plate_id,zone,replicate,dilution,is_tech_rep,N_original,N_effective,delta,E-MT01,E-MT02,E-MT03,E-MT04,E-MT05,E-MT06,E-MT07,E-MT08,E-MT09,E-MT10,E-MT11,E-MT12,E-MT13,E-MT14,E-MT15
OSA-E1-D2,E,1,0.01,False,154,146,8,3,43,3,3,35,1,0,53,3,0,0,2,0,0,0
OSA-E1-D2b,E,1,0.01,True,146,139,7,5,28,3,2,32,3,0,58,2,0,0,3,1,2,0
OSA-E2-D2,E,2,0.01,False,89,92,-3,5,10,0,2,18,2,0,35,1,0,2,2,0,14,1
OSA-E2-D2b,E,2,0.01,True,108,106,2,7,12,0,1,28,1,0,33,0,0,5,0,2,17,0
OSA-E3-D2,E,3,0.01,False,143,137,6,15,18,3,3,30,2,8,30,2,15,8,0,0,3,0
OSA-E3-D2b,E,3,0.01,True,160,149,11,7,15,1,1,32,0,28,55,0,6,2,1,0,0,1
OSA-E3-D3,E,3,0.001,False,40,41,-1,2,8,0,0,22,0,0,5,2,1,0,0,0,0,1
OSA-E4-D2,E,4,0.01,False,167,152,15,4,52,0,2,45,0,2,35,3,3,5,0,0,1,0
OSA-E4-D3,E,4,0.001,False,31,25,6,0,0,0,1,4,0,0,18,0,1,0,0,0,1,0
OSA-E5-D2,E,5,0.01,False,76,74,2,3,13,0,4,15,2,9,21,0,0,0,0,0,7,0
OSA-E5-D2b,E,5,0.01,True,109,105,4,0,12,0,3,38,0,3,35,0,0,0,0,0,14,0
