plate_id,zone,replicate,dilution,is_tech_rep,N_original,N_effective,delta,T-MT01,T-MT02,T-MT03,T-MT04,T-MT05,T-MT06,T-MT07,T-MT08,T-MT09,T-MT10,T-MT11,T-MT12,T-MT13,T-MT14
OSA-T1-D2,T,1,0.01,False,163,163,0,23,14,22,30,0,0,0,2,20,0,0,42,9,1
OSA-T1-D2b,T,1,0.01,True,130,135,-5,23,19,21,7,2,0,2,1,17,0,0,36,7,0
OSA-T2-D2,T,2,0.01,False,194,190,4,18,42,0,38,0,0,2,1,38,0,0,48,3,0
OSA-T2-D2b,T,2,0.01,True,125,117,8,15,32,0,25,0,3,0,3,22,0,0,13,4,0
OSA-T3-D2,T,3,0.01,False,137,127,10,10,13,7,4,0,0,0,5,7,0,36,40,4,1
OSA-T3-D2b,T,3,0.01,True,123,122,1,4,15,13,3,0,1,4,4,11,2,27,34,4,0
OSA-T4-D2,T,4,0.01,False,33,39,-6,2,2,0,0,3,0,1,7,3,1,0,15,4,1
OSA-T4-D2b,T,4,0.01,True,56,58,-2,1,3,2,0,23,0,2,2,4,0,0,20,1,0
OSA-T5-D2,T,5,0.01,False,94,99,-5,3,6,30,3,2,0,40,0,7,1,0,4,2,1
OSA-T5-D2b,T,5,0.01,True,101,86,15,1,12,22,4,3,0,24,3,4,4,0,9,0,0
