Code,Color and Pigmentation,Shape & Elevation,Margin,Size (mm),Texture & Surface,Transparency,Mucous,Additional Notes / Microscopic Clues
ORG-SA001,Creamy white (variable across plate),"Circular to deformed (oil-drop like), some coalescence",Smooth to slightly irregular,1–6 (heterogeneous),"Firm, solid colonies, not mucous",Opaque,No,Some fusion; dominant type; stratified sizes.
ORG-SA002,Cream with darker center,"Filamentous, rizoidal with central mass",Filamentous,15–40,"Cottony, structured filaments",Opaque,No,Rizoidal periphery; granulated texture at base.
ORG-SA003,Viscous creamy to pale yellow,"Dome-like, irregular tapete",Irregular,>10,"Shiny, thick mucous layer",Opaque,Yes,Grows massively with minimal colony delimitation.
ORG-SA004,Transparent cream,"Irregular smear, halo-like spread",Diffuse,~3–4,"Glossy, smooth",Translucent,Yes,Enamel-like smear; no distinct colonies.
ORG-SA005,Pale yellow-green,"Irregular, flattened",Irregular,2–4,"Thin mucous veil, semi-transparent",Translucent,Yes,"Irregular growth, few colonies seen."
ORG-SA006,Pale pink with blueish edges (in some),"Circular, well-defined, convex",Smooth,1–3,"Glossy, gel-like",Semi-translucent,No,Subtle pigmentation; sometimes appears granulated.
ORG-SA007,Purple central colonies,"Circular, convex",Smooth,2–5,"Soft, structured",Opaque,No,Color gradient; no surrounding mucous.
ORG-SA008,Yellow core with cream to blueish gradient,Circular with lobulated margins,Lobulated,2–6,"Transparent, mucous with pigmented centers",Translucent,Yes,"Irregular haloed colonies, some central burning spots."
ORG-SA009,Creamy white with peripheral mucous,Irregular embedded colonies with halo,Irregular,2–6,"Wrinkled, complex pattern",Opaque,Yes,Possibly polymicrobial; difficult isolation.
ORG-SA010,Bright yellow with mucous halo,Circular convex colonies with tapete,"Lobulated, diffuse",3–8,Bright mucous center,Translucent,Yes,May include multiple morphotypes; clear halo.
ORG-SA011,"White, slightly creamy","Circular to slightly irregular, convex",Regular,2–5,Highly transparent drops,Semi-translucent,No,Appears as faint droplets; delicate morphology.
ORG-SA012,White embedded in mucous sheet,Convex circular inside tapete,Regular,1–4,Bright mucous with microcolonies,Translucent,Yes,Appears as dense star-shaped microcolonies.
ORG-SA013,Creamy base with spectral yellow-green hues,Thin film-like tapete with microcolonies,Irregular,<1 (microcolonies),"Thin, nearly invisible",Semi-translucent,Yes,Highly structured; difficult to isolate.
ORG-SA014,Pale purple to white,"Lobulated edge, slightly convex",Lobulated,2–4,"Solid, dense colonies",Opaque,No,Grows near mucous consortia; possible fusion.
ORG-SA015,"Warm cream, shiny","Circular to irregular, convex",Smooth to slightly undulated,2–5,"Dense, firm colonies",Opaque,No,Similar to ORG-SA001 but warmer tone.
ORG-SA016,Dark pink to burgundy,Circular slightly convex (gradual elevation),Slightly lobulated,2–4,"Smooth, gel-like",Opaque,No,"Intense pigment, thick border."
ORG-SA017,Milky white,"Convex, drop-like",Smooth,1.5–3,"Smooth, clear colonies",Semi-translucent,No,"Highly elevated, convex colonies."
ORG-SA018,White dense tapete with bright centers,Circular embedded in mucous,Diffuse,2–4,Opaque core with gelatinous ring,Opaque,Yes,Symbiotic-type colonies with complex halo.
ORG-SA019,Creamy yellow with granular halo,Circular convex,Irregular,2–4,Slightly granular edges,Opaque,No,Possibly derived from MT-C05 type; well isolated.
