plate_id,zone,replicate,dilution,is_tech_rep,n_original,n_effective,delta
OSA-E1-D2,E,1,0.01,FALSE,154,146,8
OSA-E1-D2b,E,1,0.01,TRUE,146,139,7
OSA-E2-D2,E,2,0.01,FALSE,89,92,-3
OSA-E2-D2b,E,2,0.01,TRUE,108,106,2
OSA-E3-D2,E,3,0.01,FALSE,143,137,6
OSA-E3-D2b,E,3,0.01,TRUE,160,149,11
OSA-E3-D3,E,3,0.001,FALSE,40,41,-1
OSA-E4-D2,E,4,0.01,FALSE,167,152,15
OSA-E4-D3,E,4,0.001,FALSE,31,25,6
OSA-E5-D2,E,5,0.01,FALSE,76,74,2
OSA-E5-D2b,E,5,0.01,TRUE,109,105,4
OSA-T1-D2,T,1,0.01,FALSE,163,163,0
OSA-T1-D2b,T,1,0.01,TRUE,130,135,-5
OSA-T2-D2,T,2,0.01,FALSE,194,190,4
OSA-T2-D2b,T,2,0.01,TRUE,125,117,8
OSA-T3-D2,T,3,0.01,FALSE,137,127,10
OSA-T3-D2b,T,3,0.01,TRUE,123,122,1
OSA-T4-D2,T,4,0.01,FALSE,33,39,-6
OSA-T4-D2b,T,4,0.01,TRUE,56,58,-2
OSA-T5-D2,T,5,0.01,FALSE,94,99,-5
OSA-T5-D2b,T,5,0.01,TRUE,101,86,15
OSA-D1-D2,D,1,0.01,FALSE,95,97,-2
OSA-D1-D2b,D,1,0.01,TRUE,105,109,-4
OSA-D2-D1,D,2,0.1,FALSE,126,130,-4
OSA-D3-D1,D,3,0.1,FALSE,152,150,2
OSA-D4-D1,D,4,0.1,FALSE,123,121,2
OSA-D4-D2,D,4,0.01,FALSE,31,38,-7
OSA-D5-D1,D,5,0.1,FALSE,139,134,5
OSA-D5-D2b,D,5,0.01,TRUE,22,38,-16
