comparison,cluster,contribution,sd,cumulative,p_value,mean_A,mean_B,group_A,group_B
Entrance_Transition,CL04,0.08344267449263298,0.05945591387693981,0.14700482667579567,0.178,59.8,23.4,Entrance,Transition
Entrance_Transition,CL03,0.07523545561822526,0.057381490576975856,0.2795506155096398,0.54,75.6,52.2,Entrance,Transition
Entrance_Transition,CL02,0.06557344307609499,0.04949974128548755,0.3950743890769355,0.185,42.2,20,Entrance,Transition
Entrance_Transition,CL09,0.06402624534126064,0.042599125760517796,0.5078723926922796,0.006,0,31.6,Entrance,Transition
Entrance_Transition,CL07,0.04840532830318498,0.036654362242003385,0.593150302834325,0.037,2.6,26.6,Entrance,Transition
Entrance_Transition,CL10,0.044087133321944035,0.045500747688347123,0.6708206487578281,0.041,0,22.8,Entrance,Transition
Entrance_Transition,CL05,0.03232597340766364,0.05854521495605924,0.7277708142075169,0.669,4.4,15,Entrance,Transition
Entrance_Transition,CL20,0.027000818009353257,0.03189834782493787,0.775339406605884,0.129,11.8,0.8,Entrance,Transition
Entrance_Transition,CL14,0.026535028441249154,0.054650504925860086,0.8220873959358226,0.649,0,12.6,Entrance,Transition
Entrance_Transition,CL08,0.02028012447806683,0.024514994064279528,0.8578158310799404,0.235,10,1.6,Entrance,Transition
Entrance_Transition,CL19,0.019467437779365937,0.03252981923673421,0.8921125184042445,0.217,0,6.6,Entrance,Transition
Entrance_Transition,CL21,0.014818680593225924,0.00904618165792136,0.91821927475424,0.67,0.6,7.6,Entrance,Transition
Entrance_Transition,CL01,0.013803078809053085,0.012336827244447913,0.9425367983745591,0.844,10.2,5.6,Entrance,Transition
Entrance_Transition,CL23,0.010186950122423122,0.016341111928820994,0.9604836205037323,0.215,5.2,0,Entrance,Transition
Entrance_Transition,CL12,0.00970177085597654,0.008668664927208808,0.9775756798343214,0.041,4.4,0,Entrance,Transition
Entrance_Transition,CL06,0.004267413313649684,0.0031412832660868617,0.9850937796356699,0.603,2.2,0.8,Entrance,Transition
Entrance_Transition,CL11,0.0038814201636672447,0.005191932498368262,0.9919318574164367,0.178,2,0,Entrance,Transition
Entrance_Transition,CL13,0.0033522563270032006,0.003972551893122575,0.9978376827428703,0.04,1.6,0,Entrance,Transition
Entrance_Transition,CL22,0.0012273715028036025,0.0016252458749819434,0.9999999999999998,0.158,0.6,0,Entrance,Transition
Entrance_Transition,CL15,0,0,0.9999999999999998,NA,0,0,Entrance,Transition
Entrance_Transition,CL16,0,0,0.9999999999999998,NA,0,0,Entrance,Transition
Entrance_Transition,CL17,0,0,0.9999999999999998,NA,0,0,Entrance,Transition
Entrance_Transition,CL18,0,0,0.9999999999999998,NA,0,0,Entrance,Transition
Entrance_Dark,CL03,0.09674797309200138,0.05790399840868086,0.1831510206388609,0.033,75.6,36,Entrance,Dark
Entrance_Dark,CL04,0.0938246441709588,0.049418755098034,0.36076796486825635,0.059,59.8,26.4,Entrance,Dark
Entrance_Dark,CL15,0.07175150694606422,0.08844829838660014,0.4965988387311263,0.009,0,27.2,Entrance,Dark
Entrance_Dark,CL02,0.05590780899478586,0.03881111014084945,0.6024364284172722,0.586,42.2,29.2,Entrance,Dark
Entrance_Dark,CL20,0.03287254956569513,0.035280351028252735,0.6646665797221821,0.002,11.8,0,Entrance,Dark
Entrance_Dark,CL07,0.026808463625660573,0.02114387373848532,0.7154169708454196,0.86,2.6,12.4,Entrance,Dark
Entrance_Dark,CL08,0.022358216006765182,0.027845945737310702,0.757742716289297,0.043,10,1,Entrance,Dark
Entrance_Dark,CL01,0.02053495768570826,0.015007207479976619,0.7966168997860077,0.149,10.2,6.2,Entrance,Dark
Entrance_Dark,CL16,0.018139374221297317,0.012628964981791979,0.8309560677933994,0.015,0,7,Entrance,Dark
Entrance_Dark,CL21,0.01788410642827569,0.01775667496537222,0.86481199511539,0.36,0.6,7.4,Entrance,Dark
Entrance_Dark,CL14,0.017609275429185715,0.024216152238545098,0.8981476471656842,0.725,0,6.4,Entrance,Dark
Entrance_Dark,CL05,0.011423631794941474,0.004862484653755835,0.9197734213889486,0.684,4.4,0,Entrance,Dark
Entrance_Dark,CL23,0.01135859106168937,0.0178154711757359,0.9412760687259586,0.014,5.2,0,Entrance,Dark
Entrance_Dark,CL12,0.010934945292880738,0.009364904622443557,0.9619767234995394,0.005,4.4,0,Entrance,Dark
Entrance_Dark,CL17,0.004687865583744474,0.005214492345166308,0.9708511974429276,0.063,0,1.8,Entrance,Dark
Entrance_Dark,CL06,0.004367185521060421,0.0035557415074754543,0.979118600468941,0.528,2.2,1.8,Entrance,Dark
Entrance_Dark,CL11,0.004320126601345488,0.00567250538664086,0.9872969175027573,0.017,2,0,Entrance,Dark
Entrance_Dark,CL13,0.003758126710181861,0.004333406330608642,0.994411327455361,0.004,1.6,0,Entrance,Dark
Entrance_Dark,CL18,0.001578319198366262,0.0021727943804663932,0.9973992016488575,0.172,0,0.6,Entrance,Dark
Entrance_Dark,CL22,0.0013738496679753095,0.0017731296282350575,0.9999999999999998,0.016,0.6,0,Entrance,Dark
Entrance_Dark,CL09,0,0,0.9999999999999998,NA,0,0,Entrance,Dark
Entrance_Dark,CL10,0,0,0.9999999999999998,NA,0,0,Entrance,Dark
Entrance_Dark,CL19,0,0,0.9999999999999998,NA,0,0,Entrance,Dark
Transition_Dark,CL15,0.07487453121439697,0.09529038707742912,0.12200555742039937,0.002,0,27.2,Transition,Dark
Transition_Dark,CL09,0.07378937982267518,0.04708819196665801,0.2422428967526823,0.001,31.6,0,Transition,Dark
Transition_Dark,CL03,0.07064141972055371,0.037678742431083906,0.3573507398361438,0.708,52.2,36,Transition,Dark
Transition_Dark,CL04,0.06567292546958049,0.05146246786806551,0.46436258684726556,0.885,23.4,26.4,Transition,Dark
Transition_Dark,CL02,0.05591086685430602,0.044909468258914294,0.5554674841438473,0.597,20,29.2,Transition,Dark
Transition_Dark,CL10,0.05039362389344475,0.051193694246027106,0.6375822176030597,0.004,22.8,0,Transition,Dark
Transition_Dark,CL07,0.043728664561339885,0.036205008887172194,0.7088366215842907,0.238,26.6,12.4,Transition,Dark
Transition_Dark,CL05,0.04292342782067202,0.07263052701131938,0.7787789190880968,0.009,15,0,Transition,Dark
Transition_Dark,CL14,0.042521769481369674,0.054427701821108114,0.8480667276918146,0.124,12.6,6.4,Transition,Dark
Transition_Dark,CL19,0.023907587247065373,0.0398279537277289,0.8870233456678638,0.001,6.6,0,Transition,Dark
Transition_Dark,CL16,0.01891235303794653,0.013912517999601444,0.9178403956994556,0.006,0,7,Transition,Dark
Transition_Dark,CL21,0.017214401940566046,0.014435890687872375,0.9458906909113703,0.438,7.6,7.4,Transition,Dark
Transition_Dark,CL01,0.015531873305762714,0.012245008674987026,0.971199361693248,0.711,5.6,6.2,Transition,Dark
Transition_Dark,CL17,0.004886498147756797,0.0056038609711242795,0.9791617478435359,0.036,0,1.8,Transition,Dark
Transition_Dark,CL06,0.004617334903786161,0.004320895393675517,0.9866855414432583,0.377,0.8,1.8,Transition,Dark
Transition_Dark,CL08,0.004251150808548409,0.004252381419018984,0.9936126502433118,0.935,1.6,1,Transition,Dark
Transition_Dark,CL20,0.002273626826295051,0.0013193496763161468,0.9973174495096179,0.976,0.8,0,Transition,Dark
Transition_Dark,CL18,0.001646275093307515,0.0023277053490527795,0.9999999999999998,0.115,0,0.6,Transition,Dark
Transition_Dark,CL11,0,0,0.9999999999999998,NA,0,0,Transition,Dark
