sample_id,richness_nofungi,shannon_nofungi,zone,richness,shannon,delta_richness,delta_shannon
E-R1,9,1.5135547149289104,E,11,1.562728974108246,2,0.0491742591793356
E-R2,9,1.5482494699075624,E,12,1.801877743833486,3,0.2536282739259237
E-R3,12,1.9119474415736273,E,14,1.972098847638184,2,0.06015140606455671
E-R4,9,1.5436153914310824,E,10,1.5880641602727248,1,0.044448768841642394
E-R5,7,1.4901934900579588,E,8,1.6769142137664805,1,0.18672072370852177
T-R1,9,1.8435735364247772,T,11,1.9699293324676304,2,0.12635579604285319
T-R2,8,1.698601333630632,T,9,1.76862066826779,1,0.07001933463715804
T-R3,11,1.888822112019,T,13,1.9886514223644802,2,0.09982931034548015
T-R4,9,1.6694392643695948,T,11,1.8260879723428596,2,0.1566487079732648
T-R5,10,1.7867658273549367,T,12,1.8510361989675237,2,0.06427037161258697
D-R1,8,1.6913869529299594,D,9,1.7645620981918972,1,0.0731751452619378
D-R2,10,1.8852565679424451,D,11,1.951534352628237,1,0.06627778468579182
D-R3,8,1.335997022072265,D,8,1.335997022072265,0,0
D-R4,12,1.8853586860972145,D,13,1.9961588412398403,1,0.11080015514262587
D-R5,10,1.9009692095798107,D,11,2.039371425746112,1,0.13840221616630144
