morphotype,contribution,sd,ratio,cumulative,p_value,mean_Light,mean_Dark
ORG-SA019,0.15464410659250202,0.09580251691773249,1.6141966992923367,0.25215528472342513,0.002,58.5,32.5
ORG-SA001,0.09583431474204546,0.0635214614489959,1.5086919059473298,0.40841813529380994,0.015,31.666666666666668,6.666666666666667
ORG-SA015,0.07233978387409257,0.028280228282157992,2.5579632226565785,0.5263719274009271,0.015,29.333333333333332,8
ORG-SA009,0.06951163327116812,0.02780857024297123,2.4996478662450317,0.6397142723844865,0.004,22.5,11.5
ORG-SA002,0.05523338584020759,0.036277926459203885,1.5225066929423308,0.7297751899303195,0.008,17.333333333333332,4.333333333333333
ORG-SA007,0.03709884871295054,0.020397563579407797,1.8187882375522242,0.790266798477521,0.018,12.5,2
ORG-SA008,0.030751265084666326,0.027041798722713114,1.1371752818660519,0.8404083407185203,0.04,12,1.8333333333333333
ORG-SA003,0.023668871190379276,0.010112006353158641,2.3406701265556404,0.8790016701741257,0.029,9.166666666666666,7.666666666666667
ORG-SA004,0.018705900011387826,0.021998765573306902,0.8503158938193055,0.909502616167551,0.193,4,3.3333333333333335
ORG-SA005,0.017738860440215068,0.012461529252130734,1.4234898527547886,0.9384267536825879,0.071,7.666666666666666,2.3333333333333335
ORG-SA016,0.01771540110897773,0.015024306416788325,1.179116068158883,0.9673126395339957,0.001,6.166666666666667,0
ORG-SA010,0.014860001577134978,0.02294351954465214,0.6476775085973533,0.9915426474614668,0.001,3.5,0.33333333333333337
ORG-SA012,0.0035353950118210903,0.0026350076150728403,1.341702009359605,0.9973072934958909,0.013,0,0.8333333333333334
ORG-SA011,0.0016514077509837324,0.0037503848987021325,0.4403302049224928,1,0.027,0.3333333333333333,0
